elec_state,party,margin,vs
Adelaide (SA) ,ALP ,8.2 ,,,,,,,
Aston (VIC) ,LIB ,10.1 ,,,,,,,
Ballarat (VIC) ,ALP ,10.2 ,,,,,,,
Banks (NSW) ,LIB ,6.3 ,,,,,,,
Barker (SA) ,LIB ,18.9 ,,,,,,,
Barton (NSW) ,ALP ,9.4 ,,,,,,,
Bass (TAS) ,LIB ,0.4 ,,,,,,,
Bean (ACT) ,ALP ,7.5 ,,,,,,,
Bendigo (VIC) ,ALP ,8.9 ,,,,,,,
Bennelong (NSW) ,LIB ,6.9 ,,,,,,,
Berowra (NSW) ,LIB ,15.7 ,,,,,,,
Blair (QLD) ,ALP ,1.2 ,,,,,,,
Blaxland (NSW) ,ALP ,14.7 ,,,,,,,
Bonner (QLD) ,LNP ,7.4 ,,,,,,,
Boothby (SA) ,LIB ,1.4 ,,,,,,,
Bowman (QLD) ,LNP ,10.2 ,,,,,,,
Braddon (TAS) ,LIB ,3.1 ,,,,,,,
Bradfield (NSW) ,LIB ,16.6 ,,,,,,,
Brand (WA) ,ALP ,6.7 ,,,,,,,
Brisbane (QLD) ,LNP ,4.9 ,,,,,,,
Bruce (VIC) ,ALP ,7.3 ,,,,,,,
Burt (WA) ,ALP ,5.5 ,,,,,,,
Calare (NSW) ,NAT ,13.3 ,,,,,,,
Calwell (VIC) ,ALP ,19.6 ,,,,,,,
Canberra (ACT) ,ALP ,17.1 ,,,,,,,
Canning (WA) ,LIB ,11.6 ,,,,,,,
Capricornia (QLD) ,LNP ,12.4 ,,,,,,,
Casey (VIC) ,LIB ,4.6 ,,,,,,,
Chifley (NSW) ,ALP ,12.4 ,,,,,,,
Chisholm (VIC) ,LIB ,0.5 ,,,,,,,
Clark (TAS) ,IND ,22.1 ,v ALP,,,,,,
Cook (NSW) ,LIB ,19.0 ,,,,,,,
Cooper (VIC) ,ALP ,14.8 ,v GRN,,,,,,
Corangamite (VIC) ,ALP ,1.1 ,,,,,,,
Corio (VIC) ,ALP ,10.3 ,,,,,,,
Cowan (WA) ,ALP ,0.9 ,,,,,,,
Cowper (NSW) ,NAT ,11.9 ,,,,,,,
Cunningham (NSW) ,ALP ,13.4 ,,,,,,,
Curtin (WA) ,LIB ,13.9 ,,,,,,,
Dawson (QLD) ,LNP ,14.6 ,,,,,,,
Deakin (VIC) ,LIB ,4.7 ,,,,,,,
Dickson (QLD) ,LNP ,4.6 ,,,,,,,
Dobell (NSW) ,ALP ,1.5 ,,,,,,,
Dunkley (VIC) ,ALP ,2.7 ,,,,,,,
Durack (WA) ,LIB ,13.5 ,,,,,,,
Eden-Monaro (NSW) ,ALP ,0.9 ,,,,,,,
