Date,Firm,ALP,LNP,GRN,OTH,ALP2,LNP2
7 Sep 2013,Election,33.4%,45.6%,8.7%,12.3%,46.5%,53.5%
4–6 Sep 2013,Morgan (multi),31.5%,45%,9.5%,14%,44.5%,54.5%
5 Sep 2013,ReachTEL[4],33.7%,43.5%,10.2%,12.7%,47%,53 %
4–5 Sep 2013,Nielsen[5],33%,46%,11%,10%,46%,54%
3–5 Sep 2013,Newspoll,33%,46%,9%,12%,46%,54%
4 Sep 2013,ReachTEL[6],32.7%,43.6%,10.0%,13.7%,47%,53 %
2–4 Sep 2013,Galaxy[7],35%,45%,9%,11%,47%,53%
1–4 Sep 2013,Essential[e 1],35%,43%,10%,12%,48%,52%
3 Sept 2013,ReachTEL[8],35.3%,44.2%,9.7%,10.7%,48%,52%
30 Aug–1 Sep 2013,Morgan (multi),34%,43%,11%,12%,48%,52%
30 Aug–1 Sep 2013,Newspoll,33%,46%,10%,11%,46%,54%
29 Aug–1 Sep 2013,Essential[e 2],35%,44%,11%,10%,48%,52%
28–29 Aug 2013,Galaxy[9],35%,46%,10%,9%,47%,53%
28–29 Aug 2013,Morgan (multi),30.5%,44%,12%,13.5%,46%,54%
26 Aug 2013,ReachTEL[10],35.7%,46.5%,10.1%,7.7%,47%,53%
21–25 Aug 2013,Essential[e 3],38%,43%,11%,9%,50%,50%
23–25 Aug 2013,Newspoll,37%,47%,9%,7%,47%,53%
23–25 Aug 2013,Morgan (multi),34.5%,45%,11%,9.5%,47.5%,52.5%
18–22 Aug 2013,Nielsen[11],35%,47%,10%,7%,47%,53%
16–18 Aug 2013,Newspoll,34%,47%,9%,10%,46%,54%
16–18 Aug 2013,Morgan (multi),36.5%,44.5%,9.5%,9.5%,48%,52%
16–18 Aug 2013,AMR[12],38%,41%,10%,11%,50%,50%
14–18 Aug 2013,Essential[e 4],40%,44%,8%,8%,50%,50%
14–15 Aug 2013,Galaxy[13],36%,45%,10%,9%,48%,52%
12–13 Aug 2013,Morgan (phone)[14],31%,52%,9%,8%,43%,57%
9–12 Aug 2013,Essential[e 5],39%,43%,8%,10%,49%,51%
9–11 Aug 2013,Newspoll,35%,46%,11%,8%,48%,52%
9–11 Aug 2013,Morgan (multi),36.5%,44%,10.5%,9%,48.5%,51.5%
10 Aug 2013,ReachTEL[15],36.9%,46.9%,8.9%,7.4%,47%,53%
7–9 Aug 2013,Galaxy[16],38%,45%,10%,7%,49%,51%
6–8 Aug 2013,Nielsen[17],37%,46%,10%,8%,48%,52%
4 Aug 2013,ReachTEL[18],37.5%,45.7%,8.2%,8.6%,48%,52%
2–4 Aug 2013,Morgan (multi),38%,43%,9.5%,9.5%,49.5%,50.5%
2–4 Aug 2013,Newspoll,37%,44%,9%,10%,48%,52%
1–4 Aug 2013,Essential[e 6],38%,43%,9%,10%,49%,51%
26–28 Jul 2013,Morgan (multi),38.5%,41.5%,10.5%,9.5%,50.5%,49.5%
25–28 Jul 2013,Essential[e 7],39%,44%,9%,8%,49%,51%
23–25 Jul 2013,Galaxy[19],40%,44%,9%,7%,50%,50%
18–22 Jul 2013,Essential[e 8],39%,45%,7%,9%,49%,51%
19–21 Jul 2013,Morgan (multi),41.5%,41%,9%,8.5%,52%,48%
19–21 Jul 2013,Newspoll,37%,45%,10%,8%,48%,52%
18 Jul 2013,ReachTEL[18],39.3%,45.4%,8.3%,7.0%,49%,51%
12–14 Jul 2013,Morgan (multi),42%,41%,7%,10%,51.5%,48.5%
11–14 Jul 2013,Essential[e 9],39%,46%,7%,8%,48%,52%
11–13 Jul 2013,Nielsen[20],39%,44%,9%,8%,50%,50%
5–8 Jul 2013,AMR[12],42%,43%,7%,8%,51%,49%
5–7 Jul 2013,Newspoll,38%,42%,9%,11%,50%,50%
5–7 Jul 2013,Morgan (multi),41.5%,39.5%,8.5%,10.5%,52.5%,47.5%
4–7 Jul 2013,Essential[e 10],38%,46%,8%,7%,48%,52%
28–30 Jun 2013,Newspoll,35%,43%,11%,11%,49%,51%
28–30 Jun 2013,Morgan (multi),39.5%,40.5%,8.5%,11.5%,51%,49%
27–30 Jun 2013,Essential[e 11],36%,46%,9%,9%,47%,53%
27–28 Jun 2013,Galaxy[21],38%,44%,10%,8%,49%,51%
27 Jun 2013,ReachTEL[18],38.3%,45.1%,8.7%,7.8%,48%,52%
