Date,Firm,LNP,ALP,GRN,ONP,OTH,LNP2,ALP2
18 May 2019,Election,41.44%,33.34%,10.4%,3.08%,N/A,51.53%,48.47%
18 May 2019,YouGov-Galaxy[1],39%,38%,10%,n/a,10%,48%,52%
15–16 May 2019,Newspoll[2],38%,37%,9%,3%,13%[a],48.5%,51.5%
13–15 May 2019,YouGov-Galaxy[3],39%,37%,9%,3%,12%[b],49%,51%
12–15 May 2019,Ipsos[4],39%,33%,13%,4%,11%[c],49%,51%
10–14 May 2019,Essential[5],38.5%,36.2%,9.1%,6.6%,9.6%,48.5%,51.5%
10–12 May 2019,Roy Morgan[6],38.5%,35.5%,10%,4%,12%[d],48%,52%
9–11 May 2019,Newspoll[7],39%,37%,9%,4%,11%[e],49%,51%
2–6 May 2019,Essential[8],38%,34%,12%,7%,9%,48%,52%
4–5 May 2019,Roy Morgan[9],38.5%,34%,11%,4%,12.5%[f],49%,51%
2–5 May 2019,Newspoll[10],38%,36%,9%,5%,12%[g],49%,51%
1–4 May 2019,Ipsos[11],36%,33%,14%,5%,12%[h],48%,52%
25–29 Apr 2019,Essential[12],39%,37%,9%,6%,9%,49%,51%
27–28 Apr 2019,Roy Morgan[13],39.5%,36%,9.5%,2.5%,12.5%[i],49%,51%
26–28 Apr 2019,Newspoll[14],38%,37%,9%,4%,12%[j],49%,51%
23–25 Apr 2019,Galaxy[15],37%,37%,9%,4%,13%[k],48%,52%
20–21 Apr 2019,Roy Morgan[16],39%,35.5%,9.5%,4.5%,11.5%[l],49%,51%
11–14 Apr 2019,Newspoll[17],39%,39%,9%,4%,9%,48%,52%
4–8 Apr 2019,Essential[18],38%,35%,11%,5%,10%,48%,52%
6–7 Apr 2019,Roy Morgan[19],37%,35%,13.5%,4%,10.5%[m],47.5%,52.5%
4–7 Apr 2019,Newspoll[20],38%,37%,9%,6%,10%,48%,52%
3–6 Apr 2019,Ipsos[21],37%,34%,13%,5%,11%,47%,53%
25–28 Mar 2019,Galaxy[22],35%,37%,10%,8%,10%[n],47%,53%
20–25 Mar 2019,Essential[23],39%,36%,10%,7%,8%,48%,52%
6–11 Mar 2019,Essential[24],37%,38%,8%,7%,10%,47%,53%
7–10 Mar 2019,Newspoll[25],36%,39%,9%,7%,9%,46%,54%
20–25 Feb 2019,Essential[26],38%,37%,9%,6%,10%,48%,52%
21–24 Feb 2019,Newspoll[27],37%,39%,9%,5%,10%,47%,53%
12–15 Feb 2019,Ipsos[28],38%,33%,13%,5%,11%,49%,51%
6–11 Feb 2019,Essential[29],34%,38%,10%,7%,11%,45%,55%
7–10 Feb 2019,Newspoll[30],37%,39%,9%,5%,10%,47%,53%
23–31 Jan 2019,Essential[31],38%,36%,10%,7%,9%,48%,52%
24–27 Jan 2019,Newspoll[32],37%,38%,9%,6%,10%,47%,53%
9–13 Jan 2019,Essential[33],38%,38%,10%,7%,7%,47%,53%
13–16 Dec 2018,Essential[34],37%,36%,11%,7%,9%,47%,53%
12–15 Dec 2018,Ipsos[35],36%,37%,13%,6%,9%,46%,54%
6–9 Dec 2018,Newspoll[32],35%,41%,9%,7%,8%,45%,55%
29 Nov – 2 Dec 2018,Essential[36],38%,39%,10%,6%,7%,46%,54%
22–25 Nov 2018,Newspoll[37],34%,40%,9%,8%,9%,45%,55%
15–18 Nov 2018,Essential[38],37%,35%,11%,7%,10%,48%,52%
15–17 Nov 2018,Ipsos[39],37%,34%,13%,5%,11%,48%,52%
8–11 Nov 2018,Newspoll[40],35%,40%,9%,6%,10%,45%,55%
1–4 Nov 2018,Essential[41],36%,39%,10%,6%,9%,46%,54%
25–28 Oct 2018,Newspoll[42],36%,39%,9%,6%,10%,46%,54%
18–21 Oct 2018,Essential[43],38%,37%,10%,7%,8%,47%,53%
11–13 Oct 2018,Newspoll[44],37%,38%,11%,6%,8%,47%,53%
10–13 Oct 2018,Ipsos[45],35%,35%,15%,5%,10%,45%,55%
5–7 Oct 2018,Essential[46],37%,36%,12%,5%,10%,47%,53%
20–23 Sep 2018,Essential[47],37%,36%,12%,5%,10%,47%,53%
20–23 Sep 2018,Newspoll[48],36%,39%,10%,6%,9%,46%,54%
12–15 Sep 2018,Ipsos[49],34%,31%,15%,7%,13%,47%,53%
6–9 Sep 2018,Essential[50],36%,37%,10%,8%,9%,46%,54%
6–9 Sep 2018,Newspoll[51],34%,42%,10%,6%,8%,44%,56%
25–26 Aug 2018,Roy Morgan[52],36.5%,36%,13%,2.5%,12%,46%,54%
24–26 Aug 2018,Essential[53],35%,39%,10%,7%,9%,45%,55%
24–25 Aug 2018,Newspoll[54],33%,41%,10%,7%,9%,44%,56%
15–18 Aug 2018,Ipsos[55],33%,35%,13%,8%,11%,45%,55%
9-12 Aug 2018,Newspoll[56],37%,35%,10%,9%,9%,49%,51%
2-2 Aug 2018,ReachTEL[57],37%,34%,12%,8%,8%,48%,52%
26-29 Jul 2018,Newspoll[58],39%,36%,10%,7%,8%,49%,51%
12-15 Jul 2018,Essential[59],40%,36%,10%,6%,8%,49%,51%
12-15 Jul 2018,Newspoll[60],38%,36%,10%,7%,9%,49%,51%
28 Jun - 1 Jul 2018,Essential[61],40%,37%,11%,6%,6%,48%,52%
28 Jun - 1 Jul 2018,Newspoll[62],39%,37%,9%,6%,9%,49%,51%
21–24 Jun 2018,Ipsos[63],35%,35%,12%,6%,12%,47%,53%
14–17 Jun 2018,Newspoll[64],38%,38%,10%,6%,8%,48%,52%
14–17 Jun 2018,Essential[65],38%,35%,11%,7%,9%,48%,52%
2 Jun 2018,ReachTEL[66],35%,34%,11%,9%,11%,48%,52%
31 May – 3 Jun 2018,Essential[67],36%,37%,10%,8%,9%,46%,54%
24–27 May 2018,Newspoll[68],38%,38%,9%,8%,7%,48%,52%
17–20 May 2018,Essential[69],40%,36%,10%,8%,7%,49%,51%
10–13 May 2018,Essential[70],38%,36%,10%,7%,8%,48%,52%
10–13 May 2018,Newspoll[71],39%,38%,9%,6%,8%,49%,51%
10–12 May 2018,Ipsos[72],36%,37%,11%,5%,11%,46%,54%
3–6 May 2018,Essential[73],38%,37%,10%,6%,9%,47%,53%
30 Apr 2018,ReachTEL[74],36%,35%,11%,6%,12%,48%,52%
19–22 Apr 2018,Essential[75],37%,36%,11%,8%,8%,47%,53%
19-22 Apr 2018,Newspoll[76],38%,37%,9%,7%,9%,49%,51%
5–8 Apr 2018,Essential[77],38%,37%,10%,7%,8%,47%,53%
5–8 Apr 2018,Newspoll[78],38%,37%,10%,7%,8%,48%,52%
3–5 Apr 2018,Ipsos[79][80],36%,34%,12%,8%,10%,48%,52%
24 Mar – 1 Apr 2018,Roy Morgan[81],38.5%,37.5%,11%,3%,10%,49%,51%
28 Mar 2018,ReachTEL[82],34%,36%,10%,7%,13%,46%,54%
22–25 Mar 2018,Essential[83],38%,36%,9%,8%,9%,48%,52%
22–25 Mar 2018,Newspoll[84],37%,39%,9%,7%,8%,47%,53%
17–25 Mar 2018,Roy Morgan[85],40%,35%,12%,3.5%,9.5%,49%,51%
8–11 Mar 2018,Essential[86],36%,38%,9%,8%,9%,46%,54%
