Date,Firm,Method,Sample size,LNP,ALP,GRN,ONP,UAP,OTH,UND,LNP2,ALP2
18–24 April 2022,Roy Morgan[6],Telephone/online,1393,35.5%,35%,12%,4.5%,1.5%,11.5%,–,45.5%,54.5%
20–23 April 2022,Newspoll-YouGov[6],Online,1538,36%,37%,11%,3%,4%,9%,–,47%,53%
20–23 April 2022,Ipsos[7],Telephone/online,2302,32%,34%,12%,4%,3%,8%,8%,45%,55%
19–20 April 2022,Essential[8],Online,1052,37%,35%,9%,3%,4%,5%,7%,46%,47%
11–17 April 2022,Roy Morgan[9],Telephone/online,1382,35.5%,35%,14%,4.5%,1.5%,9.5%,–,45%,55%
14–17 April 2022,Newspoll-YouGov[10],Online,1510,35%,36%,12%,4%,4%,9%,–,47%,53%
11–16 April 2022,Resolve Strategic[11],Online,1404,35%,34%,11%,4%,4%,13%,–,–,–
10 April 2022,Australian federal election campaign begins with calling of 21 May election,Australian federal election campaign begins with calling of 21 May election,Australian federal election campaign begins with calling of 21 May election,Australian federal election campaign begins with calling of 21 May election,Australian federal election campaign begins with calling of 21 May election,Australian federal election campaign begins with calling of 21 May election,Australian federal election campaign begins with calling of 21 May election,Australian federal election campaign begins with calling of 21 May election,Australian federal election campaign begins with calling of 21 May election,Australian federal election campaign begins with calling of 21 May election,Australian federal election campaign begins with calling of 21 May election,Australian federal election campaign begins with calling of 21 May election
4–10 April 2022,Roy Morgan[12],Telephone/online,1384,32.5%,36%,12.5%,5%,1.5%,12.5%,–,43%,57%
6–9 April 2022,Newspoll-YouGov[13],Online,1506,36%,37%,10%,3%,4%,10%,–,47%,53%
31 March – 3 April 2022,Resolve Strategic[14],Online,1681,34%,38%,11%,2%,3%,12%,–,–,–
28 March – 3 April 2022,Roy Morgan[15],Telephone/online,1367,33%,39.5%,11%,3.5%,1%,12%,–,43%,57%
31 March – 3 April 2022,Newspoll-YouGov[16],Online,1531,36%,38%,10%,3%,3%,10%,–,46%,54%
30 March – 2 April 2022,Essential[17],Online,1086,37%,36%,10%,4%,3%,5%,5%,45%,50%
30 March – 2 April 2022,Ipsos[18],Telephone/online,2563,31%,35%,10%,4%,2%,8%,7%,42%,51%
21–27 March 2022,Roy Morgan[19],Online,1404,33%,35.5%,12.5%,3.5%,1%,14.5%,–,44.5%,55.5%
17–20 March 2022,Essential[20],Online,1091,37%,37%,9%,3%,2%,4%,7%,44%,48%
14–20 March 2022,Roy Morgan[21],Telephone/online,1418,31%,37.5%,12%,3%,1%,15.5%,–,42%,58%
3–13 March 2022,Roy Morgan[22],Telephone/online,1947,33.5%,37%,11.5%,3%,1%,14%[a],–,44%,56%
9–12 March 2022,Newspoll-YouGov[23],Online,1520,35%,41%,8%,3%,3%,10%,–,45%,55%
2–6 March 2022,Essential[24],Online,1093,36%,35%,10%,3%,3%,4%,7%,44%,49%
24 February – 3 March 2022,Roy Morgan[25],Telephone/online,1141,34%,37.5%,11.5%,3.5%,1%,12.5%[b],–,43.5%,56.5%
23–26 February 2022,Newspoll-YouGov[26],Online,1525,35%,41%,9%,3%,4%,8%,–,45%,55%
14–23 February 2022,Roy Morgan[27],Telephone/online,2261,32.5%,37.5%,12.5%,3.5%,1.5%,12.5%[c],–,43.5%,56.5%
15–20 February 2022,Resolve Strategic[28],Online,1604,33%,35%,10%,3%,4%,15%,–,–,–
17–20 February 2022,Essential[29],Online,1089,35%,38%,9%,5%,3%,4%,6%,45%,49%
31 January – 13 February 2022,Roy Morgan[30],Telephone/online,2796,33%,38.5%,11.5%,4%,1.5%,11.5%,–,43%,57%
9–12 February 2022,Newspoll-YouGov[31],Online,1526,34%,41%,8%,3%,–,14%,–,45%,55%
2–6 February 2022,Essential[32],Online,1069,37%,35%,9%,4%,2%,5%,8%,46%,47%
27–30 January 2022,Newspoll-YouGov[33],Online,1523,34%,41%,11%,3%,–,11%,–,44%,56%
17–30 January 2022,Roy Morgan[34],Telephone/online,2783,33%,37.5%,11.5%,3.5%,2%,12.5%,–,43.5%,56.5%
20–23 January 2022,Essential[35],Online,1062,36%,37%,8%,3%,–,9%,8%,43%,50%
4–16 January 2022,Roy Morgan[36],Telephone/online,2791,34.5%,37%,12%,3%,0.5%,13%,–,44%,56%
11–15 January 2022,Resolve Strategic[37],Online,1607,34%,35%,11%,3%,–,17%,–,–,–
8–13 December 2021,Essential[38],Online,1095,36%,36%,9%,4%,6%,–,8%,45%,47%
11–12, 18–19 December 2021,Roy Morgan[39][40],Telephone/online,–,34.5%,37%,11.5%,4%,13%,–,–,44.5%,55.5%
1–5 December 2021,Essential[41],Online,1094,38%,35%,10%,3%,7%,–,8%,45%,48%
27–28 November,4–5 December 2021,Roy Morgan[42],Telephone/online,2805,34.5%,36%,12.5%,3.5%,13.5%[d],–,–,43.5%,56.5%
1–4 December 2021,Newspoll-YouGov[43],Online,1518,36%,38%,10%,3%,13%,–,–,47%,53%
17–21 November 2021,Essential[44][45],Online,1095,36%,37%,10%,4%,7%,–,7%,45%,48%
17–21 November 2021,Resolve Strategic[46],Online,1781,39%,32%,11%,3%,14%,–,–,–,–
13–14, 20–21 November 2021,Roy Morgan[47],Telephone/online,2795,35.5%,35.5%,12%,3.5%,13.5%,–,–,44.5%,55.5%
10–13 November 2021,Newspoll-YouGov[48],Online,1524,37%,38%,11%,2%,12%,–,–,47%,53%
3–7 November 2021,Essential[44][45],Online,1089,35%,37%,9%,3%,6%,–,10%,44%,46%
30–31 October,6–7 November 2021,Roy Morgan[49],Telephone/online,2723,36.5%,35%,11.5%,3%,14%,–,–,46.5%,53.5%
20–24 October 2021,Essential[50],Online,1781,37%,36%,10%,3%,8%,–,6%,44%,49%
20–24 October 2021,Resolve Strategic[51][52],Online,~1600,37%,34%,11%,3%,14%,–,–,–,–
16–17, 23–24 October 2021,Roy Morgan[53],Telephone/online,2778,36.5%,35%,13.5%,3.5%,11.5%,–,–,46%,54%
20–23 October 2021,Newspoll-YouGov[54],Online,1515[55],35%,38%,11%,3%,13%,–,–,46%,54%
6–10 October 2021,Essential[50],Online,1097,36%,34%,9%,4%,8%,–,9%,45%,46%
2–3, 9–10 October 2021,Roy Morgan[56],Telephone/online,2794,37.5%,36%,11.5%,3%,12%,–,–,47%,53%
29 September – 2 October 2021,Newspoll-YouGov[57],Online,1545,37%,37%,11%,2%,13%,–,–,47%,53%
22–26 September 2021,Essential[50],Online,1094,38%,36%,9%,3%,6%,–,6%,46%,48%
18–19, 25–26 September 2021,Roy Morgan[58],Telephone/online,2752,36%,36%,12.5%,3.5%,12%,–,–,46%,54%
15–19 September 2021,Resolve Strategic[59],Online,1606,39%,31%,10%,4%,16%,–,–,–,–
15–18 September 2021,Newspoll-YouGov[60],Online,2144,37%,38%,10%,3%,12%,–,–,47%,53%
8–12 September 2021,Essential[50],Online,1100,38%,34%,8%,4%,8%,–,8%,46%,46%
4–5, 11–12 September 2021,Roy Morgan[61],Telephone/online,2735,39.5%,35%,13%,3%,10%,–,–,47.5%,52.5%
25–29 August 2021,Essential[50],Online,1100,38%,36%,10%,4%,6%,–,7%,45%,48%
21–22, 28–29 August 2021,Roy Morgan[62],Telephone/online,2735,37.5%,38.5%,11.5%,3%,9.5%,–,–,45.5%,54.5%
25–28 August 2021,Newspoll-YouGov[63],Online,1528,36%,40%,10%,3%,11%,–,–,46%,54%
17–21 August 2021,Resolve Strategic[64],Online,1607,40%,32%,12%,2%,14%,–,–,–,–
16 August 2021,Essential[50],Online,–,37%,36%,9%,3%,6%,–,8%,45%,47%
7–8, 14–15 August 2021,Roy Morgan[65],Telephone/online,2747,37.5%,37.5%,12.5%,3.5%,9%,–,–,46%,54%
4–7 August 2021,Newspoll-YouGov[66],Online,1527,39%,39%,11%,3%,8%,–,–,47%,53%
2 August 2021,Essential[50],Online,–,38%,35%,9%,4%,6%,–,8%,45%,47%
24–25 July,31 July – 1 August 2021,Roy Morgan[67],Telephone/online,2709,37%,37%,12.5%,3%,10.5%,–,–,46.5%,53.5%
19 July 2021,Essential[68],Online,–,37%,36%,10%,4%,6%,–,8%,45%,47%
10–11, 17–18 July 2021,Roy Morgan[69],Telephone/online,2737,39%,37%,11.5%,3%,9.5%,–,–,47.5%,52.5%
13–17 July 2021,Resolve Strategic[70],Online,1607,38%,35%,12%,4%,12%,–,–,–,–
14–17 July 2021,Newspoll-YouGov[71],Online,1506,39%,39%,10%,3%,9%,–,–,47%,53%
5 July 2021,Essential[68],Online,–,37%,36%,8%,4%,5%,–,8%,44%,48%
23–26 June 2021,Newspoll-YouGov[72],Online,1513,41%,37%,11%,3%,8%,–,–,49%,51%
21 June 2021,Essential[68],Online,–,38%,36%,10%,4%,5%,–,7%,45%,47%
12–13, 19–20 June 2021,Roy Morgan[73],Telephone/online,2782,41.5%,34.5%,12%,3.5%,8.5%,–,–,49.5%,50.5%
13 June 2021,Resolve Strategic[74],Online,1600,40%,36%,10%,3%,12%,–,–,–,–
7 June 2021,Essential[68],Online,–,38%,35%,10%,4%,7%,–,7%,44%,48%
29–30 May, 5–6 June 2021,Roy Morgan[75],Telephone/online,2817,40%,35.5%,11.5%,3%,10%,–,–,49%,51%
2–5 June 2021,Newspoll-YouGov[76],Online,1516,41%,36%,11%,3%,9%,–,–,50%,50%
24 May 2021,Essential[68],Online,–,37%,35%,10%,3%,6%,–,8%,44%,48%
12–16 May 2021,Resolve Strategic[77],Online,1622,39%,35%,12%,2%,13%,–,–,–,–
12–15 May 2021,Newspoll-YouGov[78],Online,1506,41%,36%,12%,2%,9%,–,–,49%,51%
10 May 2021,Essential[68],Online,–,38%,36%,9%,3%,6%,–,8%,44%,48%
26 April 2021,Essential[68],Online,–,39%,34%,10%,4%,6%,–,7%,46%,46%
21–24 April 2021,Newspoll-YouGov[79],Online,1514,41%,38%,10%,3%,8%,–,–,49%,51%
16 April 2021,Resolve Strategic[80],CATI/online,2000,38%,33%,12%,6%,11%,–,–,–,–
12 April 2021,Essential[68],Online,–,37%,36%,10%,3%,7%,–,7%,45%,48%
29 March 2021,Essential[68],Online,–,39%,36%,8%,3%,7%,–,7%,46%,47%
24–27 March 2021,Newspoll-YouGov[81],Online,1517,40%,38%,11%,2%,9%,–,–,48%,52%
15 March 2021,Essential[68],Online,–,38%,34%,9%,3%,8%,–,7%,47%,47%
6–7, 13–14 March 2021,Roy Morgan[82],Telephone/online,2747,41%,34.5%,12.5%,2.5%,9.5%,–,–,49.5%,50.5%
10–13 March 2021,Newspoll-YouGov[83],Online,1521,39%,39%,10%,3%,9%,–,–,48%,52%
1 March 2021,Essential[68],Online,–,37%,34%,9%,4%,8%,–,7%,45%,48%
17–20 February 2021,Newspoll-YouGov[84],Online,1504,42%,37%,10%,3%,8%,–,–,50%,50%
15 February 2021,Essential[68],Online,–,39%,35%,8%,4%,7%,–,6%,47%,47%
6–7, 13–14 February 2021,Roy Morgan[85],Telephone/online,2786,40%,34.5%,13%,3.5%,9%,–,–,49.5%,50.5%
27 January – 1 February 2021,Essential[86][87],Online,1092,37%,35%,10%,3%,7%,–,8%,44%,47%
27–30 January 2021,Newspoll-YouGov[88],Online,1512,42%,36%,10%,3%,9%,–,–,50%,50%
18 January 2021,Essential[86],Online,–,40%,33%,10%,3%,7%,–,7%,48%,45%
14 December 2020,Essential[86],Online,–,37%,35%,8%,4%,7%,–,9%,45%,46%
30 November 2020,Essential[86],Online,–,41%,33%,8%,4%,6%,–,8%,49%,43%
25–28 November 2020,Newspoll-YouGov[89],Online,1511,43%,36%,11%,2%,8%,–,–,51%,49%
16 November 2020,Essential[86],Online,–,38%,35%,9%,4%,6%,–,7%,45%,47%
14–15, 21–22 November 2020,Roy Morgan[90],Telephone/online,2824,42%,34%,12%,4%,8%,–,–,50.5%,49.5%
4–7 November 2020,Newspoll-YouGov[91],Online,1510,43%,35%,11%,3%,8%,–,–,51%,49%
2 November 2020,Essential[86],Online,–,39%,35%,9%,3%,5%,–,9%,44%,46%
14–19 October 2020,Essential[92],Online,–,39%,35%,9%,3%,7%,–,8%,48%,45%
12 October 2020,Essential[92],Online,–,40%,33%,9%,3%,5%,–,9%,47%,44%
8–10 October 2020,Newspoll-YouGov[93],Online,1527,44%,34%,11%,3%,8%,–,–,52%,48%
5 October 2020,Essential[92],Online,–,39%,34%,9%,5%,6%,–,7%,47%,46%
21 September 2020,Essential[92],Online,–,41%,31%,10%,4%,5%,–,9%,49%,42%
16–19 September 2020,Newspoll-YouGov[94],Online,2068,43%,34%,12%,3%,8%,–,–,51%,49%
7 September 2020,Essential[92],Online,–,38%,32%,10%,3%,9%,–,8%,45%,47%
26–29 August 2020,Newspoll-YouGov[95],Online,1507,41%,36%,11%,3%,9%,–,–,50%,50%
24 August 2020,Essential[92],Online,–,39%,35%,9%,4%,6%,–,7%,47%,45%
10 August 2020,Essential[92],Online,–,38%,34%,9%,4%,5%,–,10%,46%,44%
8–9, 15–16 August 2020,Roy Morgan[96],Telephone/online,2841,46%,32.5%,11%,3%,7.5%,–,–,54%,46%
5–8 August 2020,Newspoll-YouGov[97],Online,1509,43%,33%,11%,4%,9%,–,–,52%,48%
23–26 July 2020,Essential[98],Online,1058,38%,35%,9%,4%,6%,–,8%,45%,47%
